Unnamed: 0,店舗名,住所,緯度,経度,チェック
0,札幌川下店,北海道 札幌市白石区 川下5条4丁目1-20,43.053085,141.447205,1
1,新さっぽろサンピアザ店,北海道 札幌市厚別区 厚別中央2条5丁目7-2 新さっぽろアークシティ サンピアザSC,43.036667,141.471664,0
2,札幌北野店,北海道 札幌市清田区 北野6条5丁目6-36,43.016205,141.452377,0
3,イオンモール札幌平岡店,北海道 札幌市清田区 平岡三条5丁目3-1 イオンモール札幌平岡,42.998219,141.458145,0
4,札幌石山店,北海道 札幌市南区 石山2条9丁目7-50 アクロスプラザ札幌南,42.959538,141.314606,0
5,イオンモール札幌苗穂店,北海道 札幌市東区 東苗穂2条3丁目1-1 イオンモール札幌苗穂,43.079685,141.403885,0
6,シエスタハコダテ店,北海道 函館市 本町24-1 シエスタハコダテ,41.78952,140.751816,0
7,函館ベイサイド店,北海道 函館市 末広町24-6 函館西波止場,41.766296,140.715057,0
8,函館蔦屋書店,北海道 函館市 石川町85-1,41.835342,140.743637,0
9,函館五稜郭駅前店,北海道 函館市 亀田本町46-1,41.803661,140.734848,0
10,室蘭店,北海道 室蘭市 中島本町1-3-1 モルエ中島,42.352936,141.01181,0
11,苫小牧末広店,北海道 苫小牧市 末広町3-8-14,42.637714,141.609894,0
12,イオンモール苫小牧店,北海道 苫小牧市 柳町3-1-20 イオンモール苫小牧,42.657063,141.640335,0
13,札幌グランドホテル店,北海道 札幌市中央区 北1条西4丁目 札幌グランドホテル 1F,43.062206,141.350815,0
14,大同生命札幌ビル ミレド地下1階店,北海道 札幌市中央区 北三条西3丁目1 大同生命札幌ビル地下1階,43.06538,141.351685,0
15,大同生命札幌ビル ミレド2階店,北海道 札幌市中央区 北三条西3丁目1 大同生命札幌ビル2階,43.06538,141.351685,0
16,札幌ステラプレイス イースト2階店,北海道 札幌市中央区 北5条西2丁目5,43.068001,141.351227,0
17,札幌紀伊國屋書店,北海道 札幌市中央区 北5条西5丁目7 sapporo55　紀伊國屋書店内2階,43.067032,141.348038,0
18,札幌ステラプレイス センター1階店,北海道 札幌市中央区 北5条西2丁目5 JRタワー「ステラプレイス」,43.068001,141.351227,0
19,イオン札幌桑園店,北海道 札幌市中央区 北8条西14丁目28 イオン札幌桑園ショッピングセンター,43.068291,141.333588,0
20,札幌南一条店,北海道 札幌市中央区 南1条西2丁目5 南一条Ｋビル 1F,43.059025,141.354935,0
21,札幌パルコ店,北海道 札幌市中央区 南1条西3丁目3 札幌パルコ,43.058811,141.353348,0
22,札幌医科大学附属病院店,北海道 札幌市中央区 南1条西16丁目 札幌医科大学附属病院,43.056339,141.332993,0
23,北広島大曲店,北海道 北広島市 大曲幸町6-1 インターヴィレッジ大曲,42.969116,141.469772,0
24,はなふる恵庭店,北海道 恵庭市 南島松817-4 花の拠点はなふる,42.897457,141.584106,0
25,札幌美園店,北海道 札幌市豊平区 美園3条6丁目2-18,43.040607,141.389175,0
