23区,緯度,経度,拡大率
全て,35.68944,139.69167,10
千代田区,35.69412951,139.7534369,12
中央区,35.67113621,139.7720556,12
港区,35.6581028,139.7516016,11
新宿区,35.69352181,139.7034357,10
文京区,35.70827836,139.7521766,12
台東区,35.71286344,139.7800027,13
墨田区,35.71088981,139.8017297,12
江東区,35.6730719,139.8174284,11
品川区,35.60935187,139.7302588,12
目黒区,35.64147372,139.6982047,11
大田区,35.56136431,139.7159122,11
世田谷区,35.64688503,139.6532727,10
渋谷区,35.6647474,139.6980223,12
中野区,35.70738027,139.6637821,10
杉並区,35.69969839,139.6363507,10
豊島区,35.72631501,139.7165529,10
北区,35.75313281,139.7339479,12
荒川区,35.73613773,139.7832786,12
板橋区,35.75124825,139.7094921,10
練馬区,35.73589779,139.6517866,10
足立区,35.77515365,139.8044887,12
葛飾区,35.74367294,139.8472168,11
江戸川区,35.70680436,139.868427,10
23区外,35.68944,139.69167,10
